reference,name,birthdate,weight,gender,temperature,description,chromosome1,chromosome2
1,mouse5,2020-03-24,82.1681332014487,MALE,37.002404311104414,,X,Y
2,mouse4,2020-03-24,90.42843354713528,MALE,36.03022658534787,,X,Y
3,mouse5,2020-03-24,68.72470162207557,MALE,37.067816792696924,,X,Y
4,mouse5,2020-03-24,95.1128872038328,MALE,37.67733734998302,,X,Y
5,mouse4,2020-03-24,54.30286325897043,MALE,36.9108034198278,,X,Y
6,mouse1,2020-03-24,93.76053460858095,MALE,37.833708127606556,,X,Y
7,mouse6,2020-03-24,74.33623104589677,MALE,36.818153386568774,,X,Y
8,mouse1,2020-03-24,56.53580866718229,MALE,37.908433165791195,,X,Y
9,mouse3,2020-03-24,65.22607078471115,MALE,36.50946173128273,,X,Y
10,mouse1,2020-03-24,88.5879981038425,MALE,37.755082208578905,,X,Y
11,mouse4,2020-03-24,96.4611827831698,MALE,36.85336284914176,,X,Y
12,mouse6,2020-03-24,70.27935147558456,MALE,37.86430703005974,,X,Y
13,mouse2,2020-03-24,88.38768036894393,MALE,37.33081483518706,,X,Y
14,mouse5,2020-03-24,50.49519907752422,MALE,36.61234652478345,,X_MUTATED,Y
15,mouse4,2020-03-24,52.54845619757628,MALE,37.81957483314564,,X,Y_MUTATED
16,mouse4,2020-03-24,68.71924710666156,MALE,37.433875616699794,,X,Y_MUTATED
17,mouse2,2020-03-24,72.80738853512165,FEMALE,37.157888669303986,,X,X
18,mouse4,2020-03-24,74.75956732414261,FEMALE,37.883520936511516,,X,X
19,mouse3,2020-03-24,97.87824097355929,FEMALE,36.7706887486517,,X,X
20,mouse3,2020-03-24,64.58315044938539,FEMALE,37.52084308706882,,X,X
21,mouse5,2020-03-24,81.29072987064134,FEMALE,37.384955307936465,,X,X
22,mouse3,2020-03-24,53.609419091355534,FEMALE,37.1090423281101,,X,X
23,mouse4,2020-03-24,71.47626341408183,FEMALE,37.89015926182535,,X,X
24,mouse2,2020-03-24,81.52738186901125,FEMALE,36.823470368294124,,X,X
25,mouse2,2020-03-24,90.19448857069082,FEMALE,37.16069522797544,,X,X
26,mouse6,2020-03-24,62.60396055520084,FEMALE,37.5303448387964,,X,X
27,mouse3,2020-03-24,87.61279718996084,FEMALE,36.482357109689424,,X,X
28,mouse4,2020-03-24,95.07987383107607,FEMALE,36.31214417238877,,X,X
29,mouse6,2020-03-24,52.03669560038681,FEMALE,36.75377548590471,,X,X
30,mouse3,2020-03-24,90.56858166132676,FEMALE,36.06857001316401,,X,X
31,mouse3,2020-03-24,51.911530275050374,FEMALE,36.27423611160186,,X,X
32,mouse6,2020-03-24,95.47141111342984,FEMALE,37.579531546920066,,X,X
33,mouse5,2020-03-24,84.58042828512363,FEMALE,37.55279227812015,,X,X
34,mouse5,2020-03-24,55.01677006959715,FEMALE,37.820321586892156,,X,X
35,mouse5,2020-03-24,80.66821503486213,FEMALE,36.517828902040236,,X,X
36,mouse4,2020-03-24,64.37322299523895,FEMALE,37.561258240393904,,X,X
37,mouse2,2020-03-24,56.17776202770728,FEMALE,36.481066120786835,,X_MUTATED,X_MUTATED
38,mouse5,2020-03-24,80.71182621864997,FEMALE,37.74182622807914,,X_MUTATED,X_MUTATED
39,mouse4,2020-03-24,67.45762876878808,FEMALE,37.89137142120088,,X_MUTATED,X_MUTATED
40,mouse3,2020-03-24,85.70655820754669,FEMALE,36.8978539733149,,X,X_MUTATED
